product_id,product_sku,product_name,regular_price,member_price,save_amount,product_size,Product Category,Treat Type,Food Type,Advice Care,Brand,Flavour,Ingredients,Nutrition Grade,Breed,Life Stage,Health Benefits,Australia Made,Health Condition Dietary
76371,136369,Greenies Original 1.02kg Value Pack Regular Dog Dental Treat,69.99,49.99,20,1kg,Treats,Dental,,0,Greenies,Original,"Wheat flour, wheat gluten, glycerin, gelatin, oat fiber, water, lecithin, natural poultry flavor, minerals (dicalcium phosphate, potassium chloride, calcium carbonate, magnesium amino acid chelate, zinc amino acid chelate, iron amino acid chelate, copper amino acid chelate, manganese amino acid chelate, selenium, potassium iodide), dried apple pomace, choline chloride, fruit juice color, vitamins ( dl-alpha tocopherol acetate [source of vitamin E], vitamin B12 supplement, d-calcium pantothenate [vitamin B5], niacin supplement, vitamin A supplement, riboflavin supplement [vitamin B2], vitamin D3 supplement, biotin, pyridoxine hydrochloride [vitamin B6], thiamine mononitrate [vitamin B1], folic acid), turmeric color.",,,Adult,Dental & Oral Care,No,Dental Health
76764,136368,Greenies Original 1.02kg Value Pack Large Dog Dental Treat,69.99,49.99,20,1kg,Treats,Dental,,0,Greenies,Original,"Wheat flour, wheat gluten, glycerin, gelatin, oat fiber, water, lecithin, natural poultry flavor, minerals (dicalcium phosphate, potassium chloride, calcium carbonate, magnesium amino acid chelate, zinc amino acid chelate, iron amino acid chelate, copper amino acid chelate, manganese amino acid chelate, selenium, potassium iodide), dried apple pomace, choline chloride, fruit juice color, vitamins ( dl-alpha tocopherol acetate [source of vitamin E], vitamin B12 supplement, d-calcium pantothenate [vitamin B5], niacin supplement, vitamin A supplement, riboflavin supplement [vitamin B2], vitamin D3 supplement, biotin, pyridoxine hydrochloride [vitamin B6], thiamine mononitrate [vitamin B1], folic acid), turmeric color.",,Large,Adult,Dental & Oral Care,No,Dental Health
77376,136370,Greenies Original 1.02kg Value Pack Petite Dog Dental Treat,69.99,49.99,20,1kg,Treats,Dental,,0,Greenies,Original,"Wheat flour, wheat gluten, glycerin, gelatin, oat fiber, water, lecithin, natural poultry flavor, minerals (dicalcium phosphate, potassium chloride, calcium carbonate, magnesium amino acid chelate, zinc amino acid chelate, iron amino acid chelate, copper amino acid chelate, manganese amino acid chelate, selenium, potassium iodide), dried apple pomace, choline chloride, fruit juice color, vitamins ( dl-alpha tocopherol acetate [source of vitamin E], vitamin B12 supplement, d-calcium pantothenate [vitamin B5], niacin supplement, vitamin A supplement, riboflavin supplement [vitamin B2], vitamin D3 supplement, biotin, pyridoxine hydrochloride [vitamin B6], thiamine mononitrate [vitamin B1], folic acid), turmeric color.",,Small,Adult,Dental & Oral Care,No,Dental Health
121385,136371,Greenies Original 1.02kg Value Pack Teenie Dog Dental Treat,69.99,49.99,20,1kg,Treats,Dental,,0,Greenies,Original,"Wheat flour, wheat gluten, glycerin, gelatin, oat fiber, water, lecithin, natural poultry flavor, minerals (dicalcium phosphate, potassium chloride, calcium carbonate, magnesium amino acid chelate, zinc amino acid chelate, iron amino acid chelate, copper amino acid chelate, manganese amino acid chelate, selenium, potassium iodide), dried apple pomace, choline chloride, fruit juice color, vitamins ( dl-alpha tocopherol acetate [source of vitamin E], vitamin B12 supplement, d-calcium pantothenate [vitamin B5], niacin supplement, vitamin A supplement, riboflavin supplement [vitamin B2], vitamin D3 supplement, biotin, pyridoxine hydrochloride [vitamin B6], thiamine mononitrate [vitamin B1], folic acid), turmeric color.",,Toy,Adult,Dental & Oral Care,No,Dental Health
94464,121533,Greenies Original 340g Teenie Dog Dental Treat,31.99,,,340g,Treats,Dental,,,Greenies,Original,"Wheat flour, wheat gluten, glycerin, gelatin, oat fiber, water, lecithin, natural poultry flavor, minerals (dicalcium phosphate, potassium chloride, calcium carbonate, magnesium amino acid chelate, zinc amino acid chelate, iron amino acid chelate, copper amino acid chelate, manganese amino acid chelate, selenium, potassium iodide), dried apple pomace, choline chloride, fruit juice color, vitamins ( dl-alpha tocopherol acetate [source of vitamin E], vitamin B12 supplement, d-calcium pantothenate [vitamin B5], niacin supplement, vitamin A supplement, riboflavin supplement [vitamin B2], vitamin D3 supplement, biotin, pyridoxine hydrochloride [vitamin B6], thiamine mononitrate [vitamin B1], folic acid), turmeric color.",,Toy,Adult,Dental & Oral Care,No,
85152,138820,Providore Variety Pack Dog Treat 100g 4Pack,42.99,,,100g 4PK,Treats,Meaty,,"Ensure your dog always has fresh, clean water.This product is intended as an occasional treat for your dog and should not be served as a meal replacement. Always keep remaining treats re-sealed in the bag. Store in a dry cool place. Avoid storing under direct sunlight. Use within 8 weeks of opening.",Providore,Mix,"Beef with Kiwifruit (Beef, Vegetable Glycerine, Kiwi Fruit, Garlic, Salt, Natural Flavours, Apple Cider Vinegar, Natural Antioxidant) Lamb with Sweet Potato (Lamb, Sheep, Sweet Potato, Vegetable Glycerine, Garlic, Salt, Natural Flavours, Apple Cider Vinegar, Natural Antioxidant.) Chicken with Green Lipped Mussel (Chicken, Vegetable Glycerine, Green Lipped Mussel, Salt, Natural Flavours, Apple Cider Vinegar, Natural Antioxidant) Venison & Mackerel (Venison, Blue Mackerel, Vegetable Glycerine, Garlic, Salt, Natural Flavours, Apple Cider Vinegar, Natural Antioxidant.)",,,All,,No,Suitable for all life stages
82185,138818,Providore Chicken with Manuka Honey Dog Treat 185g,19.99,,,185g,Treats,"Meaty, Natural",,"Ensure your dog always has fresh, clean water.This product is intended as an occasional treat for your dog and should not be served as a meal replacement. Always keep remaining treats re-sealed in the bag. Store in a dry cool place. Avoid storing under direct sunlight. Use within 8 weeks of opening.",Providore,Chicken,"Chicken, Glycerine, Sea Salt, Natural Flavours, Apple Cider Vinegar, Manuka Honey, Natural Antioxidants.",,,"Adult, All, Puppy","Natural, Total Wellbeing",No,Suitable for all life stages
81051,3218064,Providore Chicken with Manuka Honey Dog Treat  100g,11.99,,,100g,Treats,"Meaty, Natural",,"Ensure your dog always has fresh, clean water.This product is intended as an occasional treat for your dog and should not be served as a meal replacement. Always keep remaining treats re-sealed in the bag. Store in a dry cool place. Avoid storing under direct sunlight. Use within 8 weeks of opening.",Providore,Chicken,"Chicken, Glycerine, Sea Salt, Natural Flavours, Apple Cider Vinegar, Manuka Honey, Natural Antioxidants.",,,"Adult, All, Puppy","Natural, Total Wellbeing",No,Suitable for all life stages
164527,142511,Leaps & Bounds Salmon With Pumpkin Dog Jerky 180g,16.99,,,180g,Treats,Meaty,,"Store in a dry, cool place away from direct sunlight.CAUTION: Always supervise your dog to ensure your pet chews the treat into smaller pieces before swallowing. If treat is consumed rapidly or in large chunks, there is a danger of choking or gastrointestinal blockage.",Leaps & Bounds,Salmon,"Fish and fish by-products (salmon), meat and meat by-products (beef and/or lamb), oats, rice flour, tapioca starch, black sesame seed, potato starch, glycerine, pumpkin powder, natural colours, natural flavours, hickory smoke, food acids, salt, fish oil.",,,Adult,,Yes,"Natural dog treats, suitable for all sized dogs."
164530,142512,Leaps & Bounds Salmon With Pumpkin Dog Jerky 450g,26.99,,,450g,Treats,Meaty,,"Store in a dry, cool place away from direct sunlight.CAUTION: Always supervise your dog to ensure your pet chews the treat into smaller pieces before swallowing. If treat is consumed rapidly or in large chunks, there is a danger of choking or gastrointestinal blockage.",Leaps & Bounds,Salmon,"Fish and fish by-products (salmon), meat and meat by-products (beef and/or lamb), oats, rice flour, tapioca starch, black sesame seed, potato starch, glycerine, pumpkin powder, natural colours, natural flavours, hickory smoke, food acids, salt, fish oil.",,,Adult,,Yes,"Natural dog treats, suitable for all sized dogs."
164482,142517,Leaps & Bounds Lamb With Blueberry Dog Jerky 180g,16.99,,,180g,Treats,Meaty,,"Store in a dry, cool place away from direct sunlight.CAUTION: Always supervise your dog to ensure your pet chews the treat into smaller pieces before swallowing. If treat is consumed rapidly or in large chunks, there is a danger of choking or gastrointestinal blockage.",Leaps & Bounds,Lamb,"Meat and meat by-products (lamb and beef), oats, rice flour, potato starch, tapioca starch, black sesame seed, glycerine, natural flavours, hickory smoke, salt, food acids, blueberries, thickener, vegetable oil, natural colour.",,,Adult,,Yes,"Natural dog treats, suitable for all sized dogs."
164485,142518,Leaps & Bounds Lamb With Blueberry Dog Jerky 450g,26.99,,,450g,Treats,Meaty,,"Store in a dry, cool place away from direct sunlight.CAUTION: Always supervise your dog to ensure your pet chews the treat into smaller pieces before swallowing. If treat is consumed rapidly or in large chunks, there is a danger of choking or gastrointestinal blockage.",Leaps & Bounds,Lamb,"Meat and meat by-products (lamb and beef), oats, rice flour, potato starch, tapioca starch, black sesame seed, glycerine, natural flavours, hickory smoke, salt, food acids, blueberries, thickener, vegetable oil, natural colour.",,,Adult,,Yes,"Natural dog treats, suitable for all sized dogs."
76101,133072,SavourLife Dog Training Treats Australian Kangaroo 165g,14.99,,,165g,Treats,Training,,,SavourLife,Kangaroo,"Kangaroo, cereals, glycerin, natural flavours and colours, salt, potassium sorbate, essential vitamins and minerals, fish oil (source of Omega 3).",,All,Puppy,Active,No,
78171,133073,SavourLife Australian Chicken Dog Training Treat 165g,14.99,,,165g,Treats,Bites,,,SavourLife,Chicken,0,,,Puppy,Vitamins & Supplements,No,
120778,3218889,Probalance Toothbrush Variety Pack Large Dog Treat 15Pk,28.99,24.99,4,15PK,Treats,Dental,,"Fresh drinking water should always be available. For treating only. Not intended as sole source of nutrition.  Always monitor your dog while consuming treats to be sure they are adequately chewed. Gulping any item can be harmful.Store in a dry cool place. Avoid storing under direct sunlight.",ProBalance,,"Parsley & Mint: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Powdered Cellulose, Vitamin C, Parsley, Calcium Carbonate, Spirulina, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Turmeric, Peppermint Oil, Bromelain, Zinc Oxide.Natural: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Powdered Cellulose, Vitamin C, Cinnamon, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Turmeric, Bromelain, Zinc Oxide.Charcoal: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Molasses, Powdered Cellulose, Vitamin C, Natural Smoke Flavour, Charcoal Powder, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Bromelain, Zinc Oxide.",,Large,Adult,Dental & Oral Care,No,"Natural dog treats, suitable for large sized dogs."
120439,3218891,Probalance Toothbrush Variety Pack Large Dog Treat 30Pk,48.99,41.99,7,30PK,Treats,Dental,,"Fresh drinking water should always be available. For treating only. Not intended as sole source of nutrition.  Always monitor your dog while consuming treats to be sure they are adequately chewed. Gulping any item can be harmful.Store in a dry cool place. Avoid storing under direct sunlight.",ProBalance,,"Parsley & Mint: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Powdered Cellulose, Vitamin C, Parsley, Calcium Carbonate, Spirulina, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Turmeric, Peppermint Oil, Bromelain, Zinc Oxide.Natural: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Powdered Cellulose, Vitamin C, Cinnamon, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Turmeric, Bromelain, Zinc Oxide.Charcoal: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Molasses, Powdered Cellulose, Vitamin C, Natural Smoke Flavour, Charcoal Powder, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Bromelain, Zinc Oxide.",,Large,Adult,Dental & Oral Care,No,"Natural dog treats, suitable for large sized dogs."
126939,3218890,Probalance Toothbrush Variety Pack Medium Dog Treat 57Pk,48.99,41.99,7,57PK,Treats,Dental,,"Fresh drinking water should always be available. For treating only. Not intended as sole source of nutrition.  Always monitor your dog while consuming treats to be sure they are adequately chewed. Gulping any item can be harmful.Store in a dry cool place. Avoid storing under direct sunlight.",ProBalance,,"Parsley & Mint: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Powdered Cellulose, Vitamin C, Parsley, Calcium Carbonate, Spirulina, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Turmeric, Peppermint Oil, Bromelain, Zinc Oxide.Natural: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Powdered Cellulose, Vitamin C, Cinnamon, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Turmeric, Bromelain, Zinc Oxide.Charcoal: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Molasses, Powdered Cellulose, Vitamin C, Natural Smoke Flavour, Charcoal Powder, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Bromelain, Zinc Oxide.",,Medium,Adult,Dental & Oral Care,No,"Natural dog treats, suitable for medium sized dogs."
126930,3218888,Probalance Toothbrush Variety Pack Medium Dog Treat 29Pk,28.99,24.99,4,29PK,Treats,Dental,,"Fresh drinking water should always be available. For treating only. Not intended as sole source of nutrition.  Always monitor your dog while consuming treats to be sure they are adequately chewed. Gulping any item can be harmful.Store in a dry cool place. Avoid storing under direct sunlight.",ProBalance,,"Parsley & Mint: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Powdered Cellulose, Vitamin C, Parsley, Calcium Carbonate, Spirulina, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Turmeric, Peppermint Oil, Bromelain, Zinc Oxide.Natural: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Powdered Cellulose, Vitamin C, Cinnamon, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Turmeric, Bromelain, Zinc Oxide.Charcoal: Potato Starch, Tapioca Starch, Vegetable Glycerin, Wheat Gluten, Vegetable Enhancer, Sunflower Oil, Molasses, Powdered Cellulose, Vitamin C, Natural Smoke Flavour, Charcoal Powder, Fructo-oligosaccharide, Sodium Tri-Polyphosphate, Bromelain, Zinc Oxide.",,Medium,Adult,Dental & Oral Care,No,"Natural dog treats, suitable for medium sized dogs."
