Product,Flavor,13.6 Oz,13.6 Oz_offer_price,13.6 Oz_recommended_price,Grain_Free,Ingredients,URL,Rating,Reviews,2.5 Lb,2.5 Lb_offer_price,2.5 Lb_recommended_price,Life_Stage,30 Lb,30 Lb_offer_price,30 Lb_recommended_price,22 Lb,22 Lb_offer_price,22 Lb_recommended_price,13.4 Oz,13.4 Oz_offer_price,13.4 Oz_recommended_price,26.4 Lb,26.4 Lb_offer_price,26.4 Lb_recommended_price,3 Oz,3 Oz_offer_price,3 Oz_recommended_price,7.7 Lb,7.7 Lb_offer_price,7.7 Lb_recommended_price,3 Lb,3 Lb_offer_price,3 Lb_recommended_price,17.6 Lb,17.6 Lb_offer_price,17.6 Lb_recommended_price,25.3 Lb,25.3 Lb_offer_price,25.3 Lb_recommended_price,6.6 Lb,6.6 Lb_offer_price,6.6 Lb_recommended_price,8.8 Lb,8.8 Lb_offer_price,8.8 Lb_recommended_price,13.5 Oz,13.5 Oz_offer_price,13.5 Oz_recommended_price,35 Lb,35 Lb_offer_price,35 Lb_recommended_price,18 Lb,18 Lb_offer_price,18 Lb_recommended_price,28.6 Lb,28.6 Lb_offer_price,28.6 Lb_recommended_price,14 Oz,14 Oz_offer_price,14 Oz_recommended_price,10 Lb,10 Lb_offer_price,10 Lb_recommended_price,17 Lb,17 Lb_offer_price,17 Lb_recommended_price,5.1 Oz,5.1 Oz_offer_price,5.1 Oz_recommended_price,6 Lb,6 Lb_offer_price,6 Lb_recommended_price,2 Lb,2 Lb_offer_price,2 Lb_recommended_price,3.5 Lb,3.5 Lb_offer_price,3.5 Lb_recommended_price,16.5 Lb,16.5 Lb_offer_price,16.5 Lb_recommended_price
Royal Canin Veterinary Diet Adult Dental Small Breed Dry Dog Food,Other,,,,N/A,"Chicken By-Product Meal, Brewers Rice, Corn, Brown Rice, Corn Gluten Meal, Chicken Fat, Natural Flavors, Powdered Cellulose, Dried Plain Beet Pulp, Wheat Gluten, Calcium Sulfate, Salt, Fish Oil, Vegetable Oil, Potassium Chloride, Fructooligosaccharides, Sodium Tripolyphosphate, DL-Methionine, Choline Chloride, Taurine, L-Lysine, Tea, Marigold Extract (Tagetes Erecta L.), Vitamins [DL-Alpha-Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, Pyridoxine Hydrochloride (Vitamin B6), D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Folic Acid, Riboflavin Supplement, Vitamin D3 Supplement], Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], L-Carnitine, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5237021?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8696,23,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.99,49.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin® Digestive Care Small Breed Dry Dog Food,N/A,,,,N/A,"Chicken By-Product Meal, Corn, Chicken Fat, Brewers Rice, Corn Gluten Meal, Brewers Rice Flour, Natural Flavors, Wheat Gluten, Dried Plain Beet Pulp, Fish Oil, Vegetable Oil, Pea Fiber, Sodium Silico Aluminate, Potassium Chloride, Fructooligosaccharides, Sodium Tripolyphosphate, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, PyridoxineHydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Calcium Carbonate, Salt, Choline Chloride, Taurine, Magnesium Oxide, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5336239?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8586,99,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.99,N/A,22.99,,,,,,,,,,22.99,N/A,22.99,,,
Royal Canin Veterinary Diet Satiety Support Weight Management Adult Dry Dog Food,Other,,,,N/A,"Powdered Cellulose, Chicken By-Product Meal, Corn, Wheat Gluten, Wheat, Corn Gluten Meal, Natural Flavors, Dried Plain Beet Pulp, Chicken Fat, Fish Oil, Pea Fiber, Potassium Chloride, Calcium Carbonate, Vegetable Oil, Psyllium Seed Husk, Fructooligosaccharides, Sodium Tripolyphosphate, Choline Chloride, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Niacin Supplement, Biotin, Riboflavin Supplement, D-Calcium Pantothenate, Thiamine Mononitrate (Vitamin B1), Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Acetate, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Glucosamine Hydrochloride, Taurine, DL-Methionine, L-Lysine, Salt, Marigold Extract (Tagetes Erecta L.), Magnesium Oxide, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], L-Carnitine, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5172842?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.5073,205,,,,Adult,,,,,,,,,,,,,,,,42.99,42.99,42.99,,,,84.99,42.99,42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Skin Support Dry Dog Food,N/A,,,,N/A,"Brown Rice, Fish Meal, Rice, Rice Protein, Chicken Fat, Natural Flavors, Powdered Cellulose, Dried Beet Pulp, Vegetable Oil, Fish Oil, Salt, Curcumin, Potassium Chloride, Taurine, DL-alpha Tocopherol Acetate (source Of Vitamin E), Inositol, Niacin Supplement, L-ascorbyl-2-polyphosphate (source Of Vitamin C), D-calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (vitamin B6), Riboflavin Supplement (vitamin B2), Thiamine Mononitrate (vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement, Choline Chloride, L-tyrosine, Monosodium Phosphate, Aloe Vera, Marigold Extract (Tagetes Erecta L.), Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Copper Proteinate, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite And Rosemary Extract (preserved With Natural Mixed Tocopherols And Citric Acid)","https://www.petsmart.com/dw/shop/v18_8/products/5126378?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8172,93,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.99,102.99,102.99
Royal Canin Giant Puppy Dry Dog Food,Chicken & Rice,,,,N/A,"Brewers Rice, Chicken By-Product Meal, Wheat Gluten, Corn, Corn Gluten Meal, Chicken Fat, Natural Flavors, Dried Plain Beet Pulp, Sodium Silico Aluminate, Vegetable Oil, Fish Oil, Grain Distillers Dried Yeast, Salt, Potassium Phosphate, Psyllium Seed Husk, Potassium Chloride, Calcium Carbonate, Fructooligosaccharides, L-Lysine, Hydrolyzed Yeast, Choline Chloride, Taurine, DL-Methionine, Glucosamine Hydrochloride, L-Carnitine, Marigold Extract (Tagetes Erecta L.), Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Folic Acid, Vitamin D3 Supplement], Trace Minerals (Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Copper Proteinate, Sodium Selenite), Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5199388?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7727,66,,,,Puppy,92.99,92.99,92.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Dental Medium and Large Breed Dry Dog Food,Other,,,,N/A,"Brewers Rice, Chicken By-Product Meal, Brown Rice, Corn, Chicken Fat, Natural Flavors, Wheat Gluten, Dried Plain Beet Pulp, Rice Hulls, Fish Oil, Egg Product, Grain Distillers Dried Yeast, Calcium Carbonate, Potassium Chloride, Sodium Silico Aluminate, Vegetable Oil, L-Tyrosine, Fructooligosaccharides, Salt, Sodium Tripolyphosphate, L-Lysine, Choline Chloride, Taurine, Glucosamine Hydrochloride, Tea, Vitamins [DL-Alpha-Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Folic Acid, Vitamin D3 Supplement], Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5237022?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7812,32,,,,Adult,,,,,,,,,,,,,,,,,,,,,,75.99,75.99,75.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin® Weight Care Large Breed Dog Dry Food,N/A,,,,N/A,"Corn, Chicken By-Product Meal, Pea Fiber, Corn Gluten Meal, Wheat, Wheat Gluten, Barley, Natural Flavors, Chicken Fat, Dried Plain Beet Pulp, Powdered Cellulose, Fish Oil, Salt, Vegetable Oil, Psyllium Seed Husk, Sodium Silico Aluminate, Potassium Chloride, Fructooligosaccharides, Calcium Carbonate, Taurine, Choline Chloride, L-Lysine, Vitamins[DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Pyridoxine Hydrochloride (Vitamin B6), Niacin Supplement, Folic Acid, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement], Glucosamine Hydrochloride, Trace Minerals[Zinc Proteinate, Manganese Proteinate, Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], DL-Methionine, Marigold Extract (Tagetes Erecta L.), L-Carnitine, Magnesium Oxide, Chondroitin Sulfate, Rosemary Extract,Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5336243?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8824,17,,,,Adult,99.99,N/A,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Boxer Adult Dry Dog Food,N/A,,,,No,"Brown Rice, Brewers Rice, Chicken By-Product Meal, Chicken Fat, Oat Groats, Wheat Gluten, Pork Meal, Natural Flavors, Dried Plain Beet Pulp, Fish Oil, Vegetable Oil, Sodium Silico Aluminate, Powdered Cellulose, Calcium Carbonate, Dried Tomato Pomace, Coconut Oil, Potassium Chloride, Sodium Tripolyphosphate, Potassium Citrate, Salt, Taurine, Hydrolyzed Yeast, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Inositol, Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Choline Chloride, L-Tyrosine, Glucosamine Hydrochloride, L-Carnitine, Marigold Extract (Tagetes Erecta L.), DL-Methionine, L-Lysine, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Tea, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5211759?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.908,163,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.99,69.99,69.99,,,,,,,,,,,,,,,
"Royal Canin Poodle Adult Breed Specific Wet Dog Food, 3 oz can",N/A,,,,N/A,"Water Sufficient For Processing, Pork By-Products, Chicken, Chicken By-Products, Pork Liver, Salmon, Corn Flour, Powdered Cellulose, Vegetable Oil, Carrageenan, Carob Bean Gum, Fish Oil, Sodium Tripolyphosphate, Pork Plasma, Calcium Carbonate, Potassium Chloride, Vitamins [L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Niacin Supplement, DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Biotin, D-Calcium Pantothenate, Thiamine Mononitrate (Vitamin B1), Riboflavin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Guar Gum, Taurine, Natural Flavors, DL-Methionine, Cysteine, Glycine, Trace Minerals [Zinc Oxide, Ferrous Sulfate, Zinc Proteinate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Sodium Carbonate, Magnesium Oxide, L-Carnitine, Marigold Extract (Tagetes Erecta L.)","https://www.petsmart.com/dw/shop/v18_8/products/5246954?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7581,62,,,,Adult,,,,,,,,,,,,,10.99,10.99,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin® Breed Health Nutrition Pomeranian Dry Dog Food,N/A,,,,N/A,"Brewers Rice, Corn, Chicken By-Product Meal, Chicken Fat, Oat Groats, Wheat Gluten, Corn Gluten Meal, Brown Rice, Natural Flavors, Dried Chicory Root, Fish Oil, Vegetable Oil, Sodium Silico Aluminate, Calcium Carbonate, Potassium Chloride, Powdered Psyllium Seed Husk, Fructooligosaccharides, Sodium Tripolyphosphate, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], DL-Methionine, Choline Chloride, Taurine, L-Lysine, Salt, Glucosamine Hydrochloride, Trace Minerals [Zinc Oxide, Zinc Proteinate, Ferrous Sulfate, Manganous Oxide, Manganese Proteinate, Copper Sulfate, Sodium Selenite, Calcium Iodate, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), GLA Safflower Oil, Magnesium Oxide, Green Tea Extract, L-Carnitine, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5336241?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",5.0,2,22.99,N/A,22.99,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin® Veterinary Diet Recovery RS Adult Wet Dog Food,N/A,,,,N/A,"Water Sufficient For Processing, Chicken, Chicken Liver, Gelatin, Powdered Cellulose, Natural Flavors, Fish Oil, Vegetable Oil, Egg Product, Calcium Carbonate, Sodium Tripolyphosphate, Calcium Sulfate, Potassium Chloride, Casein, Guar Gum, Choline Chloride, Taurine, Vitamins[L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Biotin, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Carob Bean Gum, Inulin, Magnesium Oxide, Sodium Carbonate, Hydrolyzed Yeast, Trace Minerals[Zinc Oxide, Ferrous Sulfate, Zinc Proteinate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Marigold Extract (Tagetes Erecta L.), Carrageenan","https://www.petsmart.com/dw/shop/v18_8/products/5303184?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.625,16,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,3.09,3.09,,,,,,,,,,,,
Royal Canin® Breed Health Nutrition Cavalier King Charles Dry Dog Food,N/A,,,,N/A,"Brewers Rice, Wheat Gluten, Chicken By-Product Meal, Corn, Chicken Fat, Wheat, Natural Flavors, Dried Plain Beet Pulp, Fish Oil, Pea Fiber, Dried Tomato Pomace, Vegetable Oil, Rice Hulls, Calcium Carbonate, Sodium Silico Aluminate, L-Lysine, Potassium Chloride, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Fructooligosaccharides, Sodium Tripolyphosphate, DL-Methionine, L-Arginine, Taurine, Potassium Citrate, Hydrolyzed Yeast, Choline Chloride, Salt, Marigold Extract (Tagetes Erecta L.), L-Tyrosine, Trace Minerals [Zinc Oxide, Ferrous Sulfate, Zinc Proteinate, Manganous Oxide, Manganese Proteinate, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Glucosamine Hydrochloride, L-Carnitine, Magnesium Oxide, Green Tea Extract, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5336262?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",5.0,41,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.99,N/A,56.99,,,,,,,,,,,,,,,,,,
Royal Canin® Weight Care Medium Breed Dry Dog Food,N/A,,,,N/A,"Chicken By-Product Meal, Pea Fiber, Corn, Corn Gluten Meal, Wheat, Barley, Natural Flavors, Wheat Gluten, Chicken Fat, Brewers Rice, Dried Plain Beet Pulp, Powdered Cellulose, Fish Oil, Salt, Vegetable Oil, Psyllium Seed Husk, Potassium Chloride, Calcium Carbonate, Fructooligosaccharides, L-Lysine, Hydrolyzed Yeast, Choline Chloride, Taurine, Vitamins[DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Pyridoxine Hydrochloride (Vitamin B6), Niacin Supplement, Folic Acid, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement], Trace Minerals[Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], DL-Methionine, Glucosamine Hydrochloride, Marigold Extract (Tagetes Erecta L.), L- Carnitine, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5336244?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.4762,21,,,,Adult,99.99,N/A,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Canine Advanced Mobility Support Adult Dry Dog Food,Other,,,,N/A,"Brewers Rice, Wheat, Chicken By-Product Meal, Corn, Corn Gluten Meal, Chicken Fat, Pea Fiber, Wheat Gluten, Natural Flavors, Fish Oil, Dried Plain Beet Pulp, Pork Digest (Source Of Collagen), Sodium Silico Aluminate, Potassium Chloride, Calcium Carbonate, Salt, L-Lysine, Choline Chloride, Taurine, Turmeric Extract, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid], Green Tea Extract, Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Sodium Selenite, Calcium Iodate], Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5325337?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",5.0,2,,,,,,,,,,,,,,103.99,103.99,103.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Calm Small Breed Dry Dog Food,N/A,,,,N/A,"Brewers Rice, Chicken By-Product Meal, Corn, Chicken Fat, Wheat, Wheat Gluten, Dried Chicory Root, Natural Flavors, Salt, Vegetable Oil, Fish Oil, Calcium Sulfate, Potassium Chloride, Sodium Silico Aluminate, DL-Methionine, Fructooligosaccharides, Sodium Tripolyphosphate, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Taurine, Choline Chloride, Dried Hydrolyzed Casein, Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], L-Lysine, Magnesium Oxide, L-Tryptophan, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5206383?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.5849,53,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.99,59.99,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
